eval/12000.0_reward_mean,eval/6000.0_reward_std,eval/6000.0_normalized_score_std,eval/6000.0_reward_mean,eval/12000.0_reward_std,eval/6000.0_normalized_score_mean,epoch,eval/12000.0_normalized_score_std,eval/12000.0_normalized_score_mean,epoch_time,update/policy_loss,update/learning_rate,update/loss_reward,update/gradient_step,update/loss_action
100.03324856280769,13.028915830179226,13.028915830179226,105.15937961655575,8.959485095004888,105.15937961655575,10,8.959485095004888,100.03324856280769,28.240567684173584,0.07883070698830795,0.0001,3.7911378341609887e-07,10000,0.07883032787452453
61.438245963973614,1.2299297652919983,1.2299297652919983,60.76614053329276,1.2153493309281544,60.76614053329276,11,1.2153493309281544,61.438245963973614,29.49301528930664,0.08018627488237783,0.0001,4.986006592227245e-07,11000,0.08018577628171861
412.3799008014589,140.3786628130512,140.3786628130512,373.65468956424763,105.91254272761728,373.65468956424763,12,105.91254272761728,412.3799008014589,29.1177761554718,0.07176327899308726,0.0001,2.5592742896065175e-07,12000,0.07176302306565831
503.1326648397674,79.81900360417679,79.81900360417679,352.933646609272,140.76478301101278,352.933646609272,13,140.76478301101278,503.1326648397674,29.592288970947266,0.07617763136898138,0.0001,5.425671352032451e-07,13000,0.07617708880184618
65.63516070699141,2.639303769274877,2.639303769274877,64.54613732424613,2.963881376090396,64.54613732424613,14,2.963881376090396,65.63516070699141,28.462646007537842,0.06478308655830411,0.0001,4.210159869716529e-07,14000,0.06478266554231714
65.55981390289132,2.4018146463178938,2.4018146463178938,61.11509557995405,3.372261902365619,61.11509557995405,15,3.372261902365619,65.55981390289132,28.83796238899231,0.0673653548363816,0.0001,6.555209863147559e-07,15000,0.0673646993153953
59.73633291460891,2.995575016912113,2.995575016912113,61.330765327329104,2.3801059145280132,61.330765327329104,16,2.3801059145280132,59.73633291460891,28.320156574249268,0.06411852559411207,0.0001,3.7940530687241874e-07,16000,0.06411814618880521
67.09040811457224,13.284680854097624,13.284680854097624,72.83175647646759,5.971671994364734,72.83175647646759,17,5.971671994364734,67.09040811457224,28.875586986541748,0.062075725196894124,0.0001,3.436831827582432e-07,17000,0.062075381513711364
94.70983044166397,6.475447678108171,6.475447678108171,104.54862763636766,18.74000929595558,104.54862763636766,18,18.74000929595558,94.70983044166397,28.356056451797485,0.05966742581070234,0.0001,4.1773805535581834e-07,18000,0.059667008072646986
128.82421667375826,9.882205369235203,9.882205369235203,105.07288482953686,37.126916738566834,105.07288482953686,19,37.126916738566834,128.82421667375826,28.478275775909424,0.060400095552441184,0.0001,4.959188824661385e-07,19000,0.06039959963355872
60.58376263423154,2.7332966343465195,2.7332966343465195,61.150258267128166,2.7870441810680457,61.150258267128166,20,2.7870441810680457,60.58376263423154,29.094853162765503,0.05707357662489012,0.0001,3.7078556257887253e-07,20000,0.05707320583932754
394.1396318217113,51.79987134637022,51.79987134637022,424.8130854724939,95.97474602884415,424.8130854724939,21,95.97474602884415,394.1396318217113,28.469761848449707,0.05635410646351847,0.0001,2.6637195516757585e-07,21000,0.0563538400915633
122.51089417507701,11.224032901129878,11.224032901129878,112.30127643154984,28.176762971635423,112.30127643154984,22,28.176762971635423,122.51089417507701,29.29256772994995,0.057496371530029226,0.0001,3.6769773614515364e-07,22000,0.05749600383229308
114.33415394421995,11.972189333105089,11.972189333105089,111.72525514501544,12.935821488021647,111.72525514501544,23,12.935821488021647,114.33415394421995,28.815834283828735,0.05325150766035914,0.0001,3.4313730819372614e-07,23000,0.053251164523050946
78.32358286559439,10.58629681512845,10.58629681512845,87.13293726784431,26.349134353014662,87.13293726784431,24,26.349134353014662,78.32358286559439,28.848721742630005,0.05117444204349097,0.0001,4.419880799842809e-07,24000,0.051174000055410986
297.0067356812894,38.78442237351078,38.78442237351078,291.23573755300265,45.15874822134846,291.23573755300265,25,45.15874822134846,297.0067356812894,29.256595611572266,0.057784964286772496,0.0001,4.1620302521390054e-07,25000,0.057784548083747285
